제목,내용
가을 밤 정취,"아득한 어두움 가로질러
오동잎 지는 소리 서글프다.
저만치 흐르는 개울물 소리
깊은 밤 침묵을 깨고 흩어지니
떨어진 낙엽 떠내려가듯
삶도 그렇게 흘러가네.
풀벌레 노래 종적을 감추고
정적 속에 홀로 남은 이 마음
삶의 무게를 벗은 자유로움
인생은 쉼 없는 여정임을 깨닫네.
가을은 모두 내려앉는 계절
달빛 속에 지워지는 내 모습
흘러가는 한점 시간이 되어
소멸의 아름다움을 배우네."
은행나무의 사랑,"그만 길을 나서는 아쉬움
풍요로운 넉넉한 가을
푸른 가을하늘과 시리게 빛나는 햇빛
상처투성인 가슴을 싸매는 갈바람
가을은 아름답게 여물었다
노랑 빨간 오색찬란한
서로 은근히 화려한 빛으로 어울리며
황홀한 흥을 일으켜 주는 놀라움
창조주의 솜씨를 들어낸다
사랑으로 품었던 은행잎
텅 비우며 보내는 은행나무의 아픔은
헤아릴 수 없겠지만
새봄 창조를 위해 기꺼이 보내는
은행나무의 사랑인 것을"
이제 어느 곳에서도 당신을 위한 아름다움을 위한,"고요함이라는 존재가 있는
어느 날 이슬비 책을 열어 그림의 마음이 있는지 알려주는
분홍빛 몽당연필로 그려보는
멀리서 바라보면 알 수 있는
봄이 되어 있는 무지개
봉선화 칠판 아래
나팔꽃이 별들의 생각의 느낌을 써 내려간
분홍색 아래
보라색 종소리는
처음 마음을 가진
천만 송이 이슬비를
언제나 빗소리로 내릴수 있도록
보라색 물결의 마음에도 하얀 눈송이의 숲을 완성합니다.
어느 곳에서나 싸락눈이 그린
그렇게 겨울이 되어
숲과 나무 그림자에도
첫눈으로 그리움의 시림과 달콤함으로
다시 내리고 싶어 하는
찬란함의 빈 곳이
혼자 겨울을 알고 있는
우리 어머니의 눈물
이제 세찬 바람과 빗소리가 만들어낸
싸락눈이 담장에도
산까치의 기다림이 어느새 익어가고
하얀 느낌이있는
노란 계단이 걸을 수 있을 만큼 쌓이면
오늘을 위해
이 꿈이 하얀 세계처럼 빛날 수 있도록
강물의 가슴으로 숲의 아침을 만들어내는
그 순간들
고운 아침의 긴 기다림이 이어지는
별들의 저녁에
이제 당신만이 순수의 시작이 살며시 속삭입니다
그것은 아름다움의 가져야 할
온전한 마음가짐
고귀함과 고결함을 덧입은 순수의 시작으로"
가을 가로수,"물든 잎이 우수수 떨어진다
떠남이 아름다운 가을 나무
시심이 머무는 가로수에서
떨어지는 커피색 낙엽
높아지는 하늘에 떨어지는 단풍
속살을 드러내며 겸손히 떨어져도
추억은 행복을 낳으리라"
두려워 말라,"파도 끝에 선다 해도 흔들리지 말라.
주의 큰 팔이 너를 붙들고 계시니라.
두려워 말라 생명의 주께서 너를 지키시리니
어둠 속에 홀로 걸어가도
주님은 결코 네 곁을 떠나지 않으시리라.
환난이 너를 삼키려 할 때도
두려워 말라 영원한 주의 팔이 감싸시리니
불 속에서도 너를 순금같이 단련하시고
역경의 귀한 열매를 맺게 하시리라.
시험과 시련의 아픔이 밀려온대도
담대하라 인내를 통해 강하게 하시리니
눈물 속에서도 주의 평안함이 네게 임하여
마침내 승리의 개가를 부르게 하시리라."
그렇게 새로운 나무 하나가 아름다움의 숲속에서 혼자 깨어 기도하는 시간,"그렇게 새로운 나무 하나가 아름다움의 숲속에서
새벽처럼 깨어있는
이른 이슬비의 속삭임
고운 날들이 스스로 푸르기 위해
초록색의 느낌을 비워내고
강물로 한순간에 채워지는
두 개의 마음을
반달과 함께 서로 나눌 수 있는
하얀 숲이 되기 위해
노래의 마음을
네모난 그리움이 가져온
아름다움의 노란색들에 값없이 나누어 줍니다
그렇게 누구나 별이 되어
아름다움으로 날아간
별빛처럼 찬란한
도화지의 시작을 맨 처음
한 권의 책으로 만들어
단 하나의 고운 느낌의
하얀 눈송이의 물감으로 써 내려간
별 하나의 가로등은
찬란함의 서 있는 곳을 알고 있는
별 하나의 아름다움에
언제나 처음과 끝이 같도록
아름다움의 느낌 속에는
노래의 마음이 일정하게 일하는 순서를 정합니다
이제 숲이 있는 곳엔
하얀 안개의 바람이 불어오면
살며시 가랑잎처럼 흔들리는
외로움의 마음들
고운 느낌을 모퉁이에 세워놓아
그리 슬픈 시간이 기다린
달빛의 하얀 기도
당신의 기다림에 있는 꽃들이 이야기는
향기의 두 손을 모은
순수의 옷깃을 여닫을 수 있는
겨울 숲의 단추를 다시 여미고 있습니다."
늦가을 탄식,"굵게 주름진 손길로
지나간 날들을 어루만질 때
한 줌 그리움은 스러져가네.
길잃은 바람은 서성이다가
마침내 가랑잎 속으로 스며들고
남겨진 자리에는 아쉬움만 남아
지는 석양의 슬픔 속에
지난여름의 기억은 저물어가네.
바람이 속삭이던 저 너머로
늦가을 향기가 아프게 다가와
죽정이마져 사라진 빈가지
닿지 못한 숱한 꿈들이
짙은 어둠 속에 묻혀 버리네.
다시는 오지 않을 그림자 속에
떨어진 낙엽의 서글픈 발자취
텅 빈 가지 끝에 맴도는 정적은
백발 인생의 저물녘처럼
또 하나의 깊은 한숨으로 스며드네."
수돗물처럼,"수도꼭지를 틀면
수돗물이 나오는 것처럼
물이 물을 밀고 나와
한없이 흘러가니
세상 모든 분야도
수돗물처럼 흐르기에
순간순간이 귀중할 뿐이다"
기러기의 정체,"바람에 흔들리는 날개 끝엔
잊힌 이름들로 가득 찬
이별로 채색된 삶의 슬픈 노래여
한 시절 따스했던 둥지의 기억조차
이제는 바람 속에 사라지고
철새라 불리는 운명을 짊어지고
정처 없이 떠도는 몸짓
머무름 없는 시간의 강을 건너네.
어디로 가든지 그 끝은 같으니
잠시 머무는 들녘조차 낯설어라.
스쳐 가는 땅 위의 흔적은
누구를 위한 날갯짓인가
허공에 흩어지는 티끌 같을 뿐이네.
석양에 소멸하는 날갯짓 사이로
서글픈 여운만이 허공에 퍼지네.
기러기들의 가여운 여정은
우리네 삶과 다르지 않으니
이 길 위에서 비로소 자신을 찾네."
눈물의 힘,"목울음 톺아내며 저녁 하늘 떠돌아다니는 외기러기처럼
울어 줄 사람 있다면
달빛이 천강을 비추는 이 밤
울음 소리 잦아드는 저 벙어리 부엉새처럼
울어 줄 사람 있다면
감빛 노을 타는 가을날을 잡아 나도 한세상 떠나 보련마는"
아름다운 약속,"깜깜한 밤이 있으면 환한 대낮이 오고
웃을 때가 있으면 눈물을 흘릴 때 있네
꽃은 그렇게도 서럽게 서럽게 지더니
그 자리에 다시 가냘프게 피어오르네
바람은 낯선 곳을 향하여 불어가더니
정처 없이 돌아와 창틀에 흐느끼네
가는 것은 언젠가 다시 돌아오리니
오는 것은 언젠가 다시 떠나가리니
사람만이 가고는 오지를 않네"
어느날 아침 새들의 노래 마음이 보이고 그림을 읽어주는,"숲이 되는 시간을
혼자서 기억하고 있는 노래의 메아리는
그 설렘의 중심에서
기둥처럼 찾아내어
외로움의 한 걸음을
꽃이 되는 순간으로 되돌린
노란 시간을 태엽으로 감아주고 있는
그리움의 돌다리들이 만들어 놓은
새들의 생각으로 가는 길
이렇게 초록색은 빛나고
작은 강물을 이루고 있는
새들이 심어놓은 숲 하나에 알려준
노래의 꿈이 있는
아름다운 음악회가 열리고 있는
여치들의 무대
푸른 기타는 밤하늘에 느낌만이
두 줄을 팽팽하게 당겨
깊음과 낮음의 순수의 설렘을 연주합니다.
별빛의 외침을 가지고 있는
어머니의 아침은
꿈이라는 보라색의 처음 음악회를 준비합니다
그래서 아름다운 날에요
오월의 푸름이 만든 꽃들의 정원
별들이 곱게 서 있는
그 고랑을 지나
스스로 꽃잎으로
고운 아침을 지어
수선화의 지붕을 만들어 놓으면
이내 숲으로 비쳐오는
아침 새들의 선반에 있는
노래의 순간들
하얀 싸리꽃이 달려가야 할
반달의 작은 동그라미로
자신의 트랙의 가장자리를
이슬비처럼 달려가야 하는
아침을 빗어내는 그리움은 빗소리안에 속삭임을 들어봅니다."
단풍의 밀어,"한창 불길이 솟는 듯 타오르며
빨갛게 물들이는 산야
온몸을 다해
누구를 그리움으로 사랑을 하다가
저리 불타는 듯 붉게 물들이며
사랑의 불꽃으로 피었는고
사랑에도 아픔이 있지만
요즘 세상에서는 감히 볼 수 없는
붉게 태우는 진실한 사랑을
너의 고운 삶에서 보니
너무 사랑스럽구나
갈바람으로 오는 가을 향기
저토록 붉게 빛나는 아름다움 속에
한 아름 그리움에 안겨
붉은 사랑으로 속삭이는
사랑의 밀어여"
애강나무 그리움,"내 안에 남겨두고 간
낯선 시간의 흔적이었지,
곱게 익은 애강 열매는 묵묵히
계절의 흐름을 쫓아가고
나는 그 길 위에서
무엇을 두고 떠났으며 무엇을 얻었을까.
고요한 노을빛에 물든 그 가지끝에서
잊혀진 까치 소리가 다시 울리면
그리움은 더는 감정이 아닌
깨달음으로 피어나는 걸까.
이제는 다시 돌아갈 수 없는 길이라해도
그곳에 머물렀던 세월과
묵묵히 서 있는 시간을 품은 나무는
한 계절의 붉음 속에
서로를 거울처럼 비추고 있을테지"
만추 1,"산야에 울긋불긋 눈부시어도
노년의 가슴으로 스며드는
스산한 만추의 그림자는
끝없는
상념의 늪으로 빠져들고
우수수 떨어지는 꿈의 껍질들이
무심한 바람에 흩날리면
허전한 가슴은 무엇으로 채울까.
황금물결이 사라진 들판에는
만추의 삭막한 풍경들이
더욱더 황량해져 가고
바스락거리는
낙엽의 속삭임에 묻어나는
덧없는 삶의 여운을 거느리고
고독을 반추하는 밤은 길기만 하다."
내일은 희망,"기다려 보세요.
토닥이는 내일이 있잖아요.
대답하는 목소리가 들리지 않나요.
오늘이 가면 내일은 시작입니다.
폭풍이 몰아쳐도 내일은 오고
비구름 속에서도 별들은 반짝입니다.
아직 꿈이 있는데
어찌 내일을 포기할 수 있겠습니까.
조금만 견뎌보세요,
밤이 가면 새벽이 오지 않던가요.
가슴이 뛰지 않나요.
언제나 내일이
손을 내미는 까닭은
남은 날이 분명 행복하기 때문입니다."
고운 비가 오는 날에 산까치의 손수레에 실어놓은 천년의 동굴 순수의 모습,"고운 비가 내릴 때마다
천년의 신비로움이 숨겨놓은
무지개다리를 지나오면
그렇게 꽃의 마음으로 알게 된
빛남의 심장 소리
두근거림은
꽃잎의 오랜 기다림
바람의 기억 속에
느림의 한 장을 꺼낸
봄이라는 느낌에 싱그러움을 나누어 주고
고운 새들의 마음에는
처음 언어를 배울 수 있는
노래의 그 설렘을 하나둘
세모와 그림자로 나누어
신비 속에 상형 문자들이 가르치는
고요함의 언덕에 가면
하나도 남김없이 푸른 칠판은
당신을 위한
그리움의 시간이라고 적어두고 있습니다
그래서 아름다운 날에요
아름다움의 기다림
어머니의 숲이 만들어 놓은
초록색 빗소리가 말없이
저 앞산의 안개를 가져와
석영처럼 가녀린 여섯 개의 면마다
빗물처럼 미끄럼을 타는
천 개의 강물이 가져와는
소낙비 고운 햇살에
나무들의 아침이 오도록 밝은 햇살이
낮은 마음이 고이도록
굽이굽이 산허리를 돌아오면
나비들의 아침이 멀리서 보이는
숲의 공간들
산까치는 마음을 다한 감동을
빨랫줄에 널어
이슬비에도 갈 수 있도록 고운 해들은 강바람의 마음을 바라봅니다."
잘 늙어가기,"흐르는 세월 야속하더니
부쩍 자라는 손주 보고
오고 가는 계절 보니
고마운 세월이여라
눈물이 남아 있으니
아직 뛰는 가슴 있으니
살아 있음이 감격스러워라
섭섭하고 쓸쓸함으로
아름다운 꽃을 피울 때
비로소 잘 늙어 가는 것
이제 가을은
낙엽 휘날리며 가볍게
내 길도 아름답고 가벼웠으면"
잃어버린 양,"저녁때쯤 불러 모을 때
한 마리가 보이지 않는다
제 가고픈대로 갔는지
찾으러 간 목자는
찾아낼 때까지
열심히 찾아다니려고
여기저기 헤매는 수고가
이만저만이 아니다
어서 찾아내어
어깨에 메고 집에 와
벗과 이웃들과 함께 즐기며
잃은 양 찾았음을 기뻐하는 마음
넘쳐났으면 얼마나 좋을까"
떠나고 싶어지리라,"떠나버리고 싶다
사랑하는 사람이
희미한 슬픔에 젖어 있을 것이면
차마 어찌하리
멀리 떠나 있고 싶으리라
시냇물　속에 비친 달빛
어른어른 마음이 흔들리면
해 맑은 얼굴 어딜까
떠나버리면 되리라
언젠가 내 마음이
안타까워 몸부림이 되어도
지금 울고 싶잖아
뚜벅뚜벅 떠나 버리리라"
낙엽을 보며,"조용히 모여든 그 사연들은
내 작은 뜰을 가득 채우고
그 속에 쌓인 낙엽이 된다.
그토록 뜨겁던 여름 햇살과
차가운 가을 달빛 속의 슬픔이
한 생애의 이야기들을 간직한 채
못다 이룬 꿈의 이야기는
가엽게도 바닥에 뒹군다.
자기 역할을 다한 이파리들은
힘에 지쳐 아무렇게 흩어지고
지나온 시간의 흔적을 더듬으며
우리가 겪었던 이야기들을 되새긴다.
세월을 벗어난 잎들은
이제 얽매이지 않는 존재로
보듬는 가을 햇살의 따스함에
하나의 아름다운 조각이 된다."
가을의 마음아래 강물이라는 느낌의 고요함,"실바람이 조금씩 가위로
잘라내고 있는
그리움의 모퉁이가 되는
동그라미를 닮은
물수제비로 만들어 숲에 보내오면
나무들이 두 손에 모아놓은
그렇게 생각이 닿는 면에 그려지는
종달새의 머리카락과 풍덩거림
어느 곳으로 날아가야 할지
알 수 없는 느림을
이제는 숲으로 깨워야 하는
노래의 고움 안에
외로운 꽃들의 한숨 소리로 들려와
별빛의 사랑으로
아름다움을 비워낼수 있다면
그 찬란함이 빛나는
그 고귀함은 나래의 한여름이 되어
꽃잎의 의미를 비워낸 실바람을 담아 꿈으로 날아가는 곳에
당신의 그리움을 기다립니다.
이렇게 아름다움 속에 있는
나비들의 고운 아침이
하얀 눈이 시리도록
하나둘 만들어지는
달빛의 그림과 거친 도화지 속으로
가을이라는
담쟁이를 주고
반달의 달콤함을 사 온
민들레의 정원에 피어나는
노란색의 작은 미련들은
푸른 하늘의 끝에서
단풍잎이 몰래 그려놓은
종이비행기의 별빛 설계도를 찾아냅니다.
이렇게 강물의 마음이 되어 날아가는
고요함의 출렁임은 숲들
여기저기 모여앉아
굴렁쇠를 굴리고 봄의 언덕이 다시오도록 생각의 시간을 어루만집니다"
가을 날의 한숨,"바람이 나뭇결을 쓸어내리듯
그 출렁이든 삶이 다 지나갔네.
스러진 들판, 멀리 사라진 새의 그림자
비어만 가는 산자락에 깃든 고요
시간이 훑고 간 황홀한 빈자리
허공에 맺힌 기억의 그림자뿐이네.
소멸되는 것들이 남긴 미세한 떨림
기억은 안개 속에서 빛을 잃고
손을 뻗어 잡아도 닿지 않는 한계
맥없이 풀려버리는 안개 같네.
이 계절은 언제나 무상의 공허
스며드는 서늘한 기운의 무게
하나같이 물처럼 흘러가고 사라질 뿐
가을엔 하나같이 사라지고 마네."
나에게 아침 선물하기,"아침이 밝았습니다
나한테 말해 주세요
평범한 하루를
특별한 하루로
선물할 수?있는 사람은
나이니까요
일이 산더미 같고
화가 나고 짜증 나도 슬퍼도
아침에 꼭 안녕
잘할 수 있어 너는 하고"
떠나는 낙엽에게,"아쉬움을 안고 떠나는 발자취
무성한 초록빛으로 뽐내던
황홀한 보금자리는 어디로 살아졌는고
당당한 생명의 보고였던 말로가
앙상한 가지로 전락하는가
붉게 불태우던 정열로
황홀하게 불꽃 피우던 사랑의 단풍도
패자처럼 떠나는 아쉬운 모습에서
인생의 행로를 연상케 한다
여름내 사명 다한 잎새
바람에 저항 없이 정처 없이 떠나지만
그 노고를 인정하여 마음을 다하며
기립하여 박수를 보내고 싶어
길 떠나는 낙엽에게"
가을의 언어를 가진 꽃들의 편지가 안개를 지나 아직도 걸어오는 별들의 행진,"그 고유함이라는 숨겨진 노란 비밀 속에
봄날이라는 알 수 없는
아련함이라는 기다림이 있고
아름다움의 한 페이지를
나무처럼 사랑한
꽃들의 시작은 언제나 무대에서
고요함을 읽어
마음을 정돈하고
그리움의 곁에서 소낙비가 되어
하얀 숲의 느낌을 알고 있는 당신을 기다립니다
언젠가 빗소리를
노란 꿈이라고 알려주신
민들레의 기다림
높은 망대를 만들고
산까치를 보내어 숲을 물어오게 하고
나무들의 마음에
네모난 계단을 만들어
손이 닿을 듯 반달의 모형을
하나 남은 그리움의 시간에 가져오는
스스로 깨어 있는
아름다움을 다스려
숲이 기초를 만들고
알 수 없는 긴 터널 속에
장미꽃 마음 그리움의 시작을 보냅니다
그렇게 하얀 숨결이면
향기의 깊은 인내를
슬픔의 시간이 있는 곳에서 알아가는
하얀 나비들의
안개의 시작과 입구
향기의 분홍빛이 설렘을 가져와
누군가를 기다려야 하는
은근함이 만들어 지는
숲이 걸어놓은 생각의 느낌 거미줄
처음이라는 봄이 매달린
별들의 소낙비
무엇이든 낮아짐을 채우고 고고함이 있는 다시 빛남을 가집니다"
아내에게,"어둠속에 나를 찾아주는 별이었소.
내가 나를 찾게 되었다오.
내 부족함을 언제나 감싸주었고
따스한 눈길로 바라봐 주었오.
그 손길에 담긴 고마움을
내 가슴 속에 깊이 새겨넣었다오.
서로의 꿈을 포개며 살아온 세월
그 길 위에 희생의 꽃이 피었고
내 삶은 당신에게 언제나 빚진자
갚을 길 없는 은혜의 수여자라오.
당신은 나의 시작이며 끝이고
당신 때문에 늘 행복을 꿈꾸었오.
고마움보다 더 큰 사랑으로
영원히 당신 곁에 머물고만 싶소."
혼잣말 1,"혼잣말로 중얼거리신다
아들만 다섯 두신 어머니
주말이면 자식들이 찾아오지만
입을 봉하고 소파에 앉아 텔레비전만 볼 뿐
집안 곳곳엔 혼잣말만 가득하다
말을 하고 싶었다
어머니, 사랑한다고
저녁이 오기 전, 그 말을 하고 싶었다
하지만 망설이는 사이 오십 년이 지나고
못 다한 말은 입안에 남아
어머니가 그리울 때마다
혓바늘로 돋아난다
어머니는 혼잣말을 좋아하신 게 아니라
누군가와 진실을 나누고 싶었다
어둠이 내리기 전에 마주 앉아"
바다비빔밥,"내게 그랬듯이
밥상 한그릇 차려주겠다고
켜켜이 바다냄새 받쳐들고
비비고 또 비비고 있는 것이다
거품 물고 오르내리던
높음과 낮음 이런 것들은
테트라포드에 냅다 집어던지고
그대가 그랬듯이
내게 그랬듯이
파란 바다 위에 하얀 파도
실핏줄 터질듯한 붉은 노을
큰 그릇에 죄다 집어넣고
맛나게 비비고 있는 것이다"
안녕 고마웠다,"한 점 미련 없이
떨어지는 낙엽의
마지막 노래 들려
내일일까 모레일까
앙상한 가지 끝
흔들거릴 마지막 잎새
어떤 이는 묵묵히
어떤 이는 슬프게
어떤 이는 잠 못 이루며
그렇게 또 한 번
이별의 순간들을
행복으로 받아들이며
안녕 고마웠다"
보라색 하늘속에 아름다움의 기억들이 기록한 꿈으로 가는 길,"작은 메모지에
빗소리로 찾아온
깔끔하고 세미하게 한곳에 모여있는
처음 나뭇잎의 그림
하나의 하얀 색으로 그려놓은
달빛과 노을의 꿈이 가져오는
저녁 하늘에는
강물의 하얀 기다림이 있고
성급하게 바람이 불어
노래의 골목길로 달려오는
초록색 시간만이
이제 아름다움의 깊이에 이르고 있습니다
고른 숨소리로 찾아낸
애태움의 처음 페이지에 실린
단풍잎 헌책들
서로의 색이
노을의 처음 페이지에 가면
쉼표도 없는 나무 의자
안개꽃이 피아노로 들려주는
당신의 숲이라는
봄과 동행하는 이슬비의 시작에서 알게 됩니다.
강물의 기억을 되살린
보라색의 골목길
노을이라는 바람과 숲의 연주를
노란색 두 마음이
나비의 분홍빛 마음으로 달려와
천 번의 소리로 새겨지는
꽃들의 심장 소리
어느 날 노란색의 하얀 볼이 살며시
그 붉어짐이
찬란함을 빗어낸
은근함 속에 별빛이 되기까지
향기의 언덕이
기다려야 하는
아름다움의 시간 속으로 보낸
숲의 그리움은 꿈의 기다림이 가까이 있음을 알려옵니다."
옛일이 그리워 지는 계절,"떠나지 않는다
가을날들은
겸손하여서
작은 풀잎 하나에도
정다운 손길로 다독거림
누구도
대신할 수 없는
아름다운 날들인
하루가 저물어 간다
그대는
누군가의 가슴에
고운 추억으로
남겨지는 날들있었나
가슴에
품어진 사랑
하나 있으면
낙엽 길 쓸쓸하지 않을터"
나만의 섬,"아무도 못 들어오게
내 호흡만 들어보내자
별빛 꽃 만들어
섬 구석구석 밝히니
달 지고 해 뜨니
꽃들 시샘하듯
여기저기 피어나네
섬에는 오직 편안
불편한 모든 것은
냉정하게 출입 금지
호흡만이 주인이니
모든 것이 평화로 가볍다"
낙엽의 노래,"돌아갈 수 없는 운명을 알기에
말없이 뿔뿔이 흩어지네.
새들과 속삭이던 소망들은
짙은 색으로 시들어가고
아쉬움에 스치는 바람의 손길이
지나간 계절을 뒤흔들며 우네.
포기와 체념으로 가득한 이 자리
버려둔 꿈들은 깊이 잠들고
누군가의 발길에 밟혀 깨어나도
소리 없이 먼지로 흩어지네.
오래된 추억 속에서 손짓하는 얼굴
흘러간 시간을 되새기며 웃어보지만
한 줄기 바람에 흩날리는 낙엽처럼
흐릿해진 기억마저 사라져가네."
지나가는 가을바람,"기다림의 이유 빌딩을 휘감아 애처로이 흐느끼다가
저 혼자 비웠다고 휘청이며 휘청이며 떠나간다
바람이 두고 간 장엄한 탄식을 읽는 것은
이제 남은 자의 몫이다"
첫가을과 마지막 가을 사이,"가을은 아직
머뭇거리는 것이
커다란 선물을 준비하나
단풍이 아직이다
별을 좋아하셨나
하늘에 별이 되시어
가끔 하늘에 별을 보고
콧등이 눈시울이
먼저 그립다 하네
우리 아버지
활짝 웃음은 너무 맑아
바라만 보아도
입꼬리가 올라가며
기분이 좋아졌지
이제 은백 머리 딸
몸들이 투덜거리며
너무 부려먹었다고
부모 앞에 서면
여전히 불안한 철부지 딸
아름다움은 기다림 없고
서늘함은 몸 안으로
계절은 어김없이 가고 오며
아름답고 쓸쓸하여라"
아침의 선물,"아침을 깨우는 전화는
하루를 사랑으로 채웁니다.
꽃송이 같은 안부는
얼마나 향기롭고
가슴 설레는 선물인가요.
이 아름다운 날에
달려와 주기라도 한다면
또 얼마나
눈물 나는 행복일까요."
황금길 걸으며,"황금 세상을 이루어 놓았다
간밤에 찬바람이 불어
은행잎으로 덮어버린 가을 길에는
노란 황금 카펫을 깔아 놓아
바스락바스락 감미롭다
가을을 밟은 소리 들으며
창조주께서 선물로 주신 황금빛
마음에 가득하게 채워주시니
부자 못지않게 부득하고
깊어가는 가을
바스락 바스락 사랑 노래에 심취
화동인양 황금 잎 뿌리며
부자 된 넉넉한 마음으로
황금 길 걷는 나그네"
비로소 그리움을 알게된 산까치의 아름다움이라는 계절,"자유롭게 한 장씩 오가는 마음의 시간
비밀의 방이 있고
고요함의 기록을 열어보면
봄의 방앗간과
초록색 여치들이
노란 방앗간에서
푸른색의 책을 서로의 눈빛으로
곱게 찧어내는
아름다움과 느낌이 읽어주는
꽃잎의 한 소절
노래의 의미로 만들어지는
노란 껍질을 벗겨낸
하얀 속삭임의 봄을 만들고 그리움을 기다립니다.
아름다움의 우체통에 넣어둔
나뭇잎의 푸른 시간
한 장씩 높게 낮게 쌓아둠은
마음의 속삭임이
어느 날 다른 문을 열어
고움의 의미를 꺼내면
하얀 바람이 만들어 놓은
종달새의 아침 속에
분홍색 꽃들이
이슬비를 숲처럼 가져오는 하나의 그림이
강물의 물감으로 그려지게 됩니다.
그렇게 꿈으로 가는 길
아침햇살은 노래의 날개를 입고
푸른 숲으로 날아가
다시 여름이 될 수 있는
자신의 애태움을 태우고
하나 남은
나뭇잎 열정과 빗소리에
가을과 겨울이 떨어지도록
풀잎 편지를 보내 소낙비를 마음을 기다립니다.
그렇게 숲은 아름다움이 되도록
봄과 여름의 숲속에
소낙비 울림을 감동의 느낌 아래 수평선에 가까이 가져옵니다."
입동에 부쳐,"너와 나 사이도 냉기가 돌고 있네.
우리를 겨울로 밀어냈네.
한때 뜨겁게 얽혔던 손길이
이제는 서늘한 잔상만 남기고
그 시절 뜨겁던 온기의 조각들이
찬 서리 내린 듯 아득해졌네.
사람의 사이에도 끝이 있음을
불안한 예감을 억누른 채 잡았던 손은
입동의 찬 바람에 무너지고
저만치 멀어져만 가네.
계절이 변한 탓은 아니지만
마음이 변하니 따스한 눈빛도 얼어붙네.
서로가 온기를 잃어가는 동안
우리는 깊은 겨울이 되어 가네."
낮은 수은주,"서서히 식어 차가운 금속 빛으로 변했네.
손가락 사이로 스며든
겨울바람처럼 차갑게 와닿네.
시간은 오래전 멈춰버린 듯
오래된 앨범 속 사진처럼 바래진 우리
아름다웠던 날은 퇴색하고
밝게 웃던 웃음도 이제는
잃어버린 시간과 함께 안개에 잠겼네.
서로를 잡아주던 손이
이제는 닿을 수 없는 거리에서 떠돌고
돌이킬 수 없는 강을 건너
흘러가 버린 추억의 파편이 되어
나뭇가지에 걸린 연 꼬리처럼 흔들리네.
차갑게 남은 언어들과 굳어진 눈빛
바람처럼 불어와 흔들리는 시간들 속에
식은 감정은 낮은 온도 속에서
우리의 텅 빈 곳을 가득 메운 채
잊힌 슬픔을 비추고 있을 뿐이네."
아무도 알 수 없는 고요함의 마음이라는 까다로운 외로움의 모퉁이,"마음을 더하여
빛남의 시작 안에 도착하면
노래의 골목마다
가로등을 다시 밝히고
반달의 그려놓은 금빛 찬란함에
그 설렘이 떨리지 않도록
고요함의 느낌을
기다림의 설계도 안에 정밀하게
노을로 물들인
진흙으로 이겨
순서도 없이 만들어 놓은 꿈의 기다림
언제나 아름다움의 풍경에
하나의 꿈과 강물이 되어 흘러와
숲의 느낌을 만져주는
초록색의 한 장이
은빛 찬란한 그림자로 기다린
아름다움의 한 페이지
나뭇잎 한 장이 꺼낸
가을의 하얀 숨소리는
별빛을 한 모금 마시면
아름다움의 깊이 안에
어제의 잃어버린 시간을
하얀 숲속의 나비들이 파란 꿈으로 찾아냅니다.
그래서 처음 봄이 애태운
바람의 마음으로 초록색 눈빛을
기억할 수 있도록
노란 색종이가 별빛 하나를 꺼내
가로와 세로를
정교하게 기어로 조립하면
마음이 느린 이슬비로 피어나는 순간들은
꽃들의 선반에
안개꽃의 한 장면을
곱게 봄으로 깎아
노래의 오랜 기다림이 있는
처음이라는 고결함은
숲속 의자에 있는 별빛 음악회가 됩니다."
국화 꽃,"희망을 접는 시간을 거슬러
조용히 피어나는 너의 이야기는
홀로 남은 자의 슬픔 같구나.
긴 기다림 끝에 빛을 내는
네 꽃잎에 서린 애잔함이여
시들어버린 지난날의 꿈을 담아
계절의 끝에서 울 듯 피어오르니
아직 남은 이들의 그리움이구나.
차가운 땅을 밟고도 꿋꿋한 너는
사라져가는 잎새들 사이에서
홀로 서서 그리운 이름을 부르며
바람에 기대어 한 송이 꽃을 피우니
기다림의 의미를 비로소 깨우치는구나.
늦게 피어나는 삶이 아름답다며
세상에 속삭이는 잔잔한 향기여!
지나온 시간의 쓸쓸한 기억을 품고
흩어질 때조차 잊히지 않는 꽃으로
바람에 실려 영원히 머물거라."
가을 향기,"화려한 너의 얼굴
일 년 내 푸르름에 젖더니
요술쟁이 같은 네 모습
참 예쁜 가을꽃 단풍아!
가을 햇살 아래 빛나는 모습
단풍 향기 가득히
하늬바람 타고 오면
두 팔 벌려 안아 주련다"
대설1,"너구리 산토끼 민가로 내려와 돌아갈 생각 않는다
쌓인 눈 위에 펑펑 주먹눈 쏟아붓는다
뚝! 조선소나무 한쪽 죽지가 떨어져 나간다
덕석을 둘러쓴 늙은 암소가 콩깍지를 씹으며
물끄러미 눈 내리는 대숲을 바라다본다"
이별 앞에서 웃어봤는가,"그대
이별에도 성공했는가
그대 사랑은
이별 앞에서 웃어봤는가"
