제목,가사
어떤 이름을 가졌던 사람의 하루를 상상해본다,"어떤 이름을 가졌던 사람의
하루를 상상해본다
버려진 빈 병을 유난히 오랫동안
들여다보는 어떤 사람을
갑자기 터져 나오는 재채기를
참을 수 없어 찡그린 미간을
긴 코트에 무거운 모자를 쓰고
문을 나서는 신발의 무게를
사람들 사이사이에서
죽을 퍼 담는 떨리는 손을
손과 함께 떨리며 변하는
그릇의 무게를 상상해본다
빈 그릇을 들고 한 방향으로 걷다
맞은편에서 날아 들어오는
커다란 소리에 놀라
몸을 틀어 뛰기 시작하는
어떤 이름을 가졌던 사람의
어떤 하루를 상상해본다
미로처럼 복잡한 숲속으로
서슴없이 뛰어 들어가는 다급한 다리를
비탈 끝에서 천천히 속도를 늦추며
담배를 꺼내 무는 부르튼 입술을
파괴적인 소리에서
가장 멀리 떨어진 길을 찾아 돌아가려는
어떤 이름을 가졌던 사람의
어떤 혼잣말을 상상해본다
나 아니면 누가 이 일을 알까
나 아니면 누가 이 일을 말할 수 있을까
나 아니면 누가 이 일을 알까
나 아니면 누가 이 일을 말할 수 있을까
이건 나밖에 이건 나밖에 이건 나밖에
이건 나밖에 이건 나밖에 이건 나밖에
이건 나밖에 이건 나밖에 이건 나밖에
이건 나밖에 이건 나밖에 이건 나밖에
이건 나밖에 이건 나밖에 이건 나밖에
이건 나밖에 이건 나밖에 이건 나밖에
이건 나밖에 이건 나밖에 이건 나밖에
이건 나밖에 이건 나밖에 이건 나밖에
나밖에"
서시,"하늘 하늘을 바라보는가
바람 바람은 멈추었는가
별 별빛 아래 써 내려간
시 시는 생동하는가
밤 이 밤은 물러날지니
아침 새 아침이 밝아오리라
어제 어제를 살아낸 나는
지금 다름 아닌 지금 이곳에
그러므로
나는 오늘의 나를 살 것이라
흔들리는 가지 몇 개쯤 품은 채로
또 비가 오면 떨어질 꽃잎
혹은 바람 불면 사라질 이파리
그런 것쯤 아무렇지도 않게
때론
태양빛을 따라가려나
아님 달빛을 쫓아가려나
어디까지 흩날리려나
깊은
바다를 가로지른다 해도
결국 내 심장이 뛰는 곳으로
나는 나는 향하려오
나는 오늘의 나를 살 것이라"
알바트로스,"어느 아주 눈부시게 아름다웠던 날
하루 종일 아무것도 먹지 못한 난
어디선가 나를 부르는
처음 들어보는 것 같은
낯설고 고운 멜로디를 들었어 
검디검은 돌 사이사이마다 맺혀있던
별빛보다 하얗게 반짝이던 열매들
허겁지겁 아무리 먹어도
배는 부르지 않고
자꾸 아파
아무런 향기도
아무런 맛도
나지 않았네
나지 않았네
나지 않았네
나는 감사한 마음으로 기도를 올리고
엄마 아빠가 기다리는 집으로
돌아가는데
아무것도 보이지 않아
아무것도 들리지 않아
아릿하게 뱃속을 찌르는 낯선 기분
부드러운 누군가가
내 안에 들어왔나 봐
바람일까
햇살일까
그런데 난 숨을 쉴 수가 없어
집으로 가는 길
집으로 가는 길
보이지 않네
보이지 않네
보이지 않네
이젠
어디선가 사람들이 내게로 몰려와
아무리 발버둥을 쳐도
움직일 수가 없어
알 수 없는 소리를 내는
네모난 돌멩이를
내게 들이밀었고
내 배는 어느새 보름달처럼 부풀고
혹시라도 다시 하늘로 가는 건 아닐까
날아갈 수만 있다면
날아갈 수만 있다면
하지만
집으로 가는 길
집으로 가는 길
보이지 않네
보이지 않네
보이지 않네
이젠 다시 갈 수 없는
나의
집으로 가는 길
집으로 가는 길
보이지 않네
보이지 않네
보이지 않네
이젠 다시 갈 수 없는
나의
집으로 가는 길
집으로 가는 길
보이지 않네
보이지 않네
보이지 않네"
슬퍼하지마,"나는 너에게 다 맡기라고 
말하고 싶어
나는 너에게 다 괜찮다고 
말하고 싶어
마음과 말투는 자꾸 엇갈려
서툰 표현이 날 대신하는 건 
안돼 
지금 너에게 갈게
이제는 슬퍼하지마 babe
I can not lose your pretty smile
babe
이제는 슬퍼하지마 babe
이제는 슬퍼하지마 babe
나는 너에게 다 맡기라고 
말하고 싶어
나는 너에게 다 괜찮다고 
말하고 싶어
너의 우울을 가져가고 싶어
현실은 나의 바램을 모르고
난 그저 널 안아줄 수 밖에
이제는 슬퍼하지마 babe
I can not lose your pretty smile
babe
이제는 슬퍼하지마 babe
이제는 슬퍼하지마 babe
전부 해결하고 너에게 가서
걱정하지 말라고 하고 싶어
힘들 때 내게 기댈 수 있게
네 곁에만 있을게"
"똑같은 만남, 다른 사람","무뎌지는 대로 사는 걸까
우린 바쁘게 살다가 잊는 걸까
언젠가 너와 같은 꿈을 꿨고
그건 이렇게도 쉽게 잊었나
다른 만남 하지만
다 비슷한 곳을 가고
우리가 참 자주 간 곳을
처음 간 척하고
나는 정말 증오해
이 도시는 날 똑같이 살게 해
똑같은 만남 다른 사람
오 안돼
겨우 괜찮아졌는데 나는 왜
누군가 다시 만나려고 해
안돼
자꾸 같은 감정을 난 반복해
똑같이 그럼 아파할 텐데
나만 피곤하게
유난 떨며 사는 걸까
아니면 정말로 세상이
이렇게 따분해진 걸까
무엇을 찾니 또 원하지 난
감정은 어디로든 갈 텐데
내 맘은 왜 이리 부자연스러운 걸까
다른 만남 하지만
다 비슷한 곳을 가고
우리가 항상 자주 하던 걸
다음에 또 하고
나는 정말 증오해
이 도시는 날 똑같이 살게 해
똑같은 만남 다른 사람
오 안돼
겨우 괜찮아졌는데 나는 왜
누군가 다시 만나려고 해
안돼
자꾸 같은 감정을 난 반복해
똑같이 그럼 아파할 텐데
똑같은 만남 다른 사람
똑같이 그럼 아파할 텐데"
아무 말도 더 하지 않고,"불 꺼진 방
긴 슬픔이 내려 앉은 이 곳에
나는 혼자 있고 싶어요
나를 향한 그대 마음
다 알고 있지만
마음껏 슬퍼할 시간이
내겐 필요해요
불을 밝히지 말아요
어둠을 해치지 말아요
환한 불빛만이 모든 슬픔을
어루만져 줄 수 있는 건 아니에요
불을 밝히지 말아요
어둠을 해치지 말아요
환한 불빛만이 모든 슬픔을
어루만져 줄 수 있는 건 아니에요
오늘도 나는
내 몫의 슬픔과 함께
숨 쉬며 살아가고 있어요"
눈이 마주쳤을 때,"하나 둘 셋 넷
너가 오고 있어
하나 둘 셋 넷
너에게 가고 있어
눈이 마주쳤을 때
서로를 스칠 때
호기심만 남기고
너가 멀어져 갈 때
너의 뒤를 따라가
너를 불러 세우고
다시 눈이 마주쳤을 때
나도 몰래
널 불러버렸어
어떡하지
너가 내 눈 앞에 있어
눈이 마주쳤을 때
조금 놀란 널 볼 때
내가 왜 이랬을까
바보 같은 날 탓하며
먼 산만 바라보다
바닥도 쳐다보다
다시 눈이 마주쳤을 때
우 우 우 우
눈이 마주쳤을 때
흔들리던 네 눈빛
긴장일까 불안일까
혹은 작은 설렘일까
나의 어떤 말 한마디가
너를 웃게 만들까
다시 눈이 마주쳤을 때"
좋아하면 원래,"너는 요즘 어때 하루 중에
가장 생각나는 사람이 누구야
일을 하다가도 길을 걷다가도
이유 없이 떠올려보는
나는 많이 생각해봤는데
아무래도 벌써 빠져버렸나 봐
꿈에서까지도 원하는 걸 보면
장난 같은 건 아닌가 봐
좋아하면 원래 다 이렇다던데
너의 한마디 한 순간이 소중해서
아껴두고 싶고 나만 보고 싶어서
쓸데없는 질투만 늘어
좋아하면 원래 다 이렇다던데
괜히 한숨만 나왔다 
또 니 생각에
웃다가 울다가 혼자 지쳐가도
눈뜨면 보고 싶은 이유는
좋아해서 그래
매일 눈치만 보는 대화도
몰래 우리 미랠 그려보는 것도 
당연한 일상이 돼버린걸 보면
자존심 따윈 버렸나 봐
우연이라 생각하겠지
우리 가끔씩 마주쳤던 거
하지만 난 생각보다 힘들었었어
항상 널 찾아 다녔거든
좋아하면 원래 다 이렇다던데
괜히 한숨만 나왔다 또 니 생각에
웃다가 울다가 혼자 지쳐가도
눈뜨면 보고 싶은 이유는
오랜 시간 더 힘들 거래도
상관없어 결국 
내 품 안에 안긴다면
좋아하면 원래 다 이런 건가 봐
모든 순간에 니가 자꾸 나타나서
또 멍해지다가 정신 차려보면
실없이 웃는 내가 보여
좋아해주면 돼 내 맘 느껴지면
사실 내가 먼저 다가가고 싶은데
니 맘을 전부 다 읽을 수가 없어서
맴돌기만 하는 이유는 
좋아해서 그래"
내가 잠에서 깨면 구워 먹어줘,"너저분한 마음이 하늘에 떠있어
우리 다치지 않게 유영하자
해는 밝은 꽃 같아
지지 않을 것 같아 정말
너와 내 마음이 만나 빛이 되자
가끔은 무서워서 눈을 뜨고 싶어
내가 잠에서 깨면 꼭 안아줘
그리고 남아 있는 온도에
우리 몸을 담자
너와 내 마음이 만나 빛이 되자
우린 다음에 흩어지는
점들이 되어서
하얗게 잠긴 다리 위를
미끄러지듯 달려
캄캄한 낮에 쓸린
부서진 조각을 모아서
서로의 마음 같은데 붙이자
끝없는 파도만큼 일렁이고 싶어
내가 잠에서 깨면 도망가자
그리고 남아 있는
온도에 우리 몸을 담자
너와 내 마음이 만나 빛이 되자
우린 다음에 흩어지는
점들이 되어서
하얗게 잠긴 다리 위를
미끄러지듯 달려
캄캄한 낮에 쓸린
부서진 조각을 모아서
서로의 마음 같은데 붙이자
우린 다음에 흩어지는
점들이 되어서
하얗게 잠긴 다리 위를
미끄러지듯 달려
캄캄한 낮에 쓸린
부서진 조각을 모아서
서로의 마음 같은데 붙이자"
우리 참 오래 만났었나 봐,"멀어져가는 기억들이 
잠시 머물던 그곳에 서서 
괜찮은 척했어 
새로운 사랑도 해 봤어
넌 어때
다른 사랑 시간으로 잊혀진다더니
아직도 난 그게 잘 안돼 그래 잘 안돼
가끔 생각이 나 아니 매일 이래
우리 참 오래 만났었나 봐 
너와의 모든 날들이 
이렇게 선명한데
난 오늘도 너의 시간 속에 살고 있어
미워져 가는 내 모습도 사랑한다던
너의 얼굴이 지워지지 않아
이제야 널 사랑하나 봐 미안해
다른 사랑 시간으로 잊혀진다더니
아직도 난 후회만 남아 너를 찾곤 해
가끔 생각이나 아니 매일 이래 
우리 참 오래 만났었나 봐
너와의 모든 날들이 
미치게 선명한데 
난 오늘도 너의 시간 속에 살고 있어
바보처럼 말도 못 해
난 아직도 떠나지도 못하고 
너 머물던 그 날에 살아
가끔 생각이나 아니 매일 이래 
우리 참 오래 만났었나 봐 
너와의 모든 날들이 
너무 그리워지면 
난 오늘도 너의 시간 속에 살고 있어"
난 행복해,"잠을 깨 오후엔 빨리 나가야 하는데
힘이 들어 오늘도 쉬고 싶어
힘을 내 너 외에는
별로 내키질 않은데
이상하게 빠른 하루도 그래
난 행복해 너와 길을 걸으면
벌써 내일이 돼
난 부족해 어떤 기댈 걸어도
너로 가득 할래
nah nah nah nah
nah nah nah nah nah nah
nah nah nah nah
오늘이 몇 요일 인지 항상 나는 틀려
이상하게 날씨도 그래
너와 같이 걷고 싶어
네 하루를 빌려 내게 내어 주기를
난 행복해 너와 길을 걸으면
벌써 내일이 돼
난 부족해 어떤 기댈 걸어도
너로 가득 할래
nah nah nah nah
nah nah nah nah nah nah
nah nah nah nah
우린 많은 걸 아낌없이
내어 주곤 했는 걸
어제보다 더
너와 조금이라도 같이 있고 싶어
난 행복해 너와 길을 걸으면
벌써 내일이 돼
나 그렇게 네게 기대를 걸어
너로 가득 할래
난 행복해 그저 그런 하루도
너로 새롭게 해
난 부족해 매일 어제보다 더
너로 가득 할래
nah nah nah nah
nah nah nah nah nah nah
nah nah nah nah
nah nah nah nah nah nah
나 그렇게 네게 기대를 걸어"
이제 우리 꿈에서만 만나,"날 원한다는 말에
바보같이 난 fall in
하지만 넌 안 미안해
빠진 내가 잘못이래
네가 보던 tv
네가 좋아했던 젤리
또 미련 남은 편지
이러면 너는 편한지
시간이 없다 해서 맞췄잖아
그래 네 말대로 다 해줬잖아
그런데 뭐가 또 그리 불편해 불쾌해
날 보면 쉽게 풀리게 돼?
팔다리가 아프다 해서 데려다 줬잖아
원한다 했던 거 다 해줬잖아
뭘 원하는지 모르겠잖아
날 원하는게 맞는 건지
You say afraid it
my rain is so wavy
I found me surrounded
You say afraid it
my rain is so wavy
I found me surrounded
이제 우리 꿈에서만 만나 (꿈에서만 만나)
우리 꿈에서만 만나 (꿈에서만 만나)
이제 너는 far
이제 우리 꿈에서만 만나 (꿈에서만 만나)
우리 꿈에서만 만나 (꿈에서만 만나)
이제 너는 far
이제 우리 꿈에서만 만나
(간주중)
You say afraid it
my rain is so wavy
I found me surrounded
이제 우리 꿈에서만 만나 (꿈에서만 만나)
우리 꿈에서만 만나 (꿈에서만 만나)
이제 너는 far
이제 우리 꿈에서만 만나 (꿈에서만 만나)
우리 꿈에서만 만나 (꿈에서만 만나)
이제 너는 far
이제 우리 꿈에서만 만나"
사람은 가끔 내가 실패하길 바라는가 봐,"사람은 가끔
내가 실패하길 바라는가 봐
무언가 바라는 것도 다른 이유뿐인데
사람은 가끔
내가 실패하길 바라는가 봐
무언가 바라는 것도 다른 이유뿐인데
우린 잘하지 못하는 일들로
외롭지 말자
미움이 아닌 이해를 줘
너와 난 다른 지구에
밀려온 섬이 아닐까
사랑이 아닌 이해를 해줘
도무지 알 수 없는 걸
이렇게 멀어지는 걸
사실은 나도 이래선 안돼
나는 오늘보다 내일
더 나아질 수 있을까
누군가 필요한 것도
나를 위한 일인데
우린 잘 하지 못하는 일들로
외롭지 말자
미움이 아닌 이해를 줘
너와 난 다른 지구에
밀려온 섬이 아닐까
사랑이 아닌 이해를 해줘
도무지 알 수 없는 걸
이렇게 멀어지는 걸
사실은 나도 이래선 안돼
너와 난 다른 지구에
밀려온 섬이 아닐까
사랑이 아닌 이해를 해줘
도무지 알 수 없는 걸
이렇게 멀어지는 걸
사실은 나도 이래선 안돼"
너에게 나는 아무것도 아닐 것 같아,"니가 웃던 표정이
가짜가 아니길 바래
내게 표한 관심이
어장이 아니길 바래
이제 안 들려 남들이
나한테 뭐라던 간에
난 좋은 걸 좋아졌는데
과거는 뭐 어때
내 스타일이 아니면
나를 좋아한다면
그냥 친구였다면
그런 사람은 됐어
근데 너는 아마도
아마도 별개인듯해
그럼 이제 알아줘
내가 너를 좋아해
더는 버림받기 싫은 나는
불쌍한 놈이잖아
나를 좋아하지 말아
얘 말고 딴 애들 다
너만 나를 좋아해줘
딴 새끼는 보지마
내 말이 들리지도 않을 걸 알면서 난
바꼈으면 해 이 바보같은 상황이
니가 나를 좋아하면 나는 받아줘야지
그러고 싶지만 여기는 아니지 꿈이
너에게 나는 아무것도 아닐 것 같아
왜 내가 뭐가 부족해 난 안 되나보네
너에게 나는 아무것도 아닌가보네
시간이 지나도
진전없이 걍 흘러가는게
내 탓일까 이젠 모르겠어 다 정말
니 맘을 좀 열어보고 싶다
사랑은 왜이리 어려울까
멀어지는 너와 자꾸 끌려가는 내가
대비되네 처량한 나
대비되네 처량한 나
너와 길을 걸을 때 난
편하게 내 맘은 숨겨버린 채
너 모르게 한 두 개씩은
티를 내 난 편하게
대하는 것 같지만 내 맘은 정반대
니가 원했던 사람에 맞춰
변하고 싶은데
더는 버림받기 싫은 나는
불쌍한 놈이잖아
나를 좋아하지 말아
얘 말고 딴 애들 다
너만 나를 좋아해줘
딴 새끼는 보지마
내 말이 들리지도 않을 걸 알면서 난
바꼈으면 해 이 바보같은 상황이
니가 나를 좋아하면 나는 받아줘야지
그러고 싶지만 여기는 아니지 꿈이
너에게 나는 아무것도 아닐 것 같아"
너는 나의 문학,"너는 어느 얼굴 없는
소설가의 문학 첫 문장
아니 그걸론 부족한데
너는 어느 이름 없는
소설가의 마지막 문장
안돼 이것도 부족한데
너는 나의 수레바퀴 아래서
너는 나의 호밀밭의 파수꾼
너는 나의 헤밍웨이 요조
나는 너를 나는 너를
계속 읽고 싶어
닳아 없어질 때까지
계속 읽고 싶어
해져 찢어질 때까지
계속 읽고 싶어
닳아 없어질 때까지
계속 읽고 싶어
해져 찢어질 때까지
너의 말은 시가 되어
텅 빈 책에 받아 적히고
그걸 평생 들고
다닐 거야
너의 노랜 글이 되어
내 눈 속에 깊이 박히고
모두 너를 듣게 될 거야
너는 나의 노르웨이의 숲
너는 나의 데미안
너는 나의 설명할 수 없는 책
나는 너를 나는 너를
계속 읽고 싶어
닳아 없어질 때까지
계속 읽고 싶어
해져 찢어질 때가지
계속 읽고 싶어
닳아 없어질 때까지
계속 읽고 싶어
해져 찢어질 때까지
계속 보고 싶어
달이 넘어갈 때까지
계속 넘기고 싶어
해가 떨어질 때까지
너는 나의 너는 나의 책
너는 나의 너는 나의 문학
너는 나의 마지막 문장
너는 나의 너는 내 첫 문장"
너를 다시 만나게 된다면,"너를 다시 만나게 된다면
나는 웃고 있을까
아니면 슬픈 표정을 짓고 있을까
우리 다시 만나게 된다면
아무렇지 않은 척
서로 인사할 수 있을까
안녕 잘 지내 뻔한
다섯 글자
널 다시 만나는 상상을
오늘도 난 혼자
하며 밤새 내뱉는 다섯 글자
여기서부터는 가사가
잘 안 나오더라고
사랑 노래는 뻔하던데
그 뻔한 사랑 노래가 잘
안 나오는 건 왜일까
집중을 못 해 그래
널 아직 노래에 담아낼
준비가 안됐나
봐
아직도 이렇게
너를 그리워하고
있는 것처럼 보여도
난 사실 덤덤해
너를 다시 만나게 된다면
나는 웃고 있을까
아니면 슬픈 표정을 짓고 있을까
우리 다시 만나게 된다면
아무렇지 않은 척
서로 인사할 수 있을까
안녕 잘 지내? 나 어느새
여까지 왔어
그 뻔하디 뻔한 사랑
노래 몇 곡을 써도
네 얘기만 하면 안 나와
가사가 해서 난
괜히 insta를 뒤져보고
쇼핑하나 봐
모든 사랑 노래엔 들어있나 봐
우리 둘 얘기
다른 사람이 봐도 이별이란 건
아픈 거겠지
맞아 예전처럼 우리 다시
돌아갈 수 없음에
떠나기 전처럼 사랑한단
말을 할 수 없었네
지나기 전엔 아름다웠고 지나고 나니
자리에 없던 넌 내게
과분한 선물이었던 거야
잊지 말아 줬으면 해 한 켠에
간직했으면 해
우연히 볼 때 우리 표정
서로 같길 바랄게
같은 구름 아래 같은 땅에서
걷다 봄 언젠간 마주치기를
너를 다시 만나게 된다면
나는 웃고 있을까
아니면 슬픈 표정을 짓고 있을까
우리 다시 만나게 된다면
아무렇지 않은 척
서로 인사할 수 있을까"
why don't you love me?,"있잖아
오늘은 날이 따스해서
괜히 네가 생각나
있잖아
오늘은 왠지 우울해서
괜히 네가 보고파
why don't you love me
이런 나를 밀어내지 마
why don't you love me
이런 나를 혼자 두진 마
아무 의미 없는 얘기에도
시시콜콜한 내 농담에도
그렇게 웃어주던 네가 떠올라
너를 많이 좋아해
why don't you love me
이런 나를 밀어내지 마
why don't you love me
이런 나를 혼자 두진 마
why don't you love me
이런 나를 밀어내지 마
why don't you love me
이런 나를 혼자 두진 마
있잖아
오늘은 날이 따스해서
괜히 네가 생각나
있잖아
오늘은 왠지 우울해서
괜히 네가 보고파"
사랑,"난 꿈처럼 사랑할 때
난 네 앞에 멈추게 돼 있어
내 눈짓도 멈추게 돼 있지
이게 나만의 사랑이야
난 꿈처럼 사랑할 때
모든 말이 멈추게 돼 있어
난 사랑이 도대체 뭔지
모르는 그런 사람이야
잃어버린 사랑을 찾아줘요
내가 모른 채 지나온 날을
비워둘 테니 내 사랑을 찾아줘요
어색한 나의
난 사랑을 할 게 내 마음을 다할 게
믿지 못하겠어 모든 게 나의 꿈인 것 같아
난 사랑을 할 게 내 모든 걸 다 줄게
난 아직 한참을 서툴어 그래
모르는 척 너도 날 사랑해
난 꿈처럼 사랑할 때
모두 네게 멈추게 돼 있어
또 멍하니 한참을 보겠지
이게 나만의 사랑이야
난 꿈처럼 사랑할 때
내 눈짓도 멈추게 돼 있어
난 아직도 사랑이 뭔지
모르는 그런 사람이야
잃어버린 사랑을 찾아줘요
내가 모른 채 지나온 날을
비워둘 테니 내 사랑을 찾아줘요
어색한 나의
난 사랑을 할 게 내 마음을 다할 게
믿지 못하겠어 모든 게 나의 꿈인 것 같아
난 사랑을 할 게 내 모든 걸 다 줄게
난 아직 한참을 서툴어 그래
모르는 척 너도 날 사랑해
난 잃어버린 나만의 사랑을 찾아가며
오다가다 널 바라봐
또 이렇게 사랑을 해
우린 서로를 바라보다가 한참이 지나
난 꿈처럼 사랑할 때
난 네 앞에 멈추게 돼 있어
내 눈짓도 멈추게 돼 있지
이게 나만의 사랑이야
난 꿈처럼 사랑할 때
모든 말이 멈추게 돼 있어
난 사랑이 도대체 뭔지
모르는 그런 사람이야"
꽃밭,"이젠 알겠어 꽃이 무언지
나에게 그댄 꽃을 주었네
일어나 보니 그 꽃이 피고
나의 신경은 온통 여기에
바보같이 난 그 꽃에 취해
심장을 또 바쳤고
가시에 찔려 아파했지만
바보 같은 난 또 바보같이 난 또
네가 없는 나의 꽃밭에 앉아
꽃잎을 떼며 너를 바라고 있네
빛나는 꽃이여 내게로 와주오
내게로 와서 빛나 주오
그대가 줬던 꽃의 향기로
나의 방안을 가득 채우네
꽃잎은 진한 향기를 띄고
지울 수 없이 번져만 가네
바보같이 난 그 꽃에 취해
심장을 또 바쳤고
가시에 찔려 아파했지만
바보 같은 난 또 바보같이 난 또
네가 없는 나의 꽃밭에 앉아
꽃잎을 떼며 너를 바라고 있네
빛나는 꽃이여 내게로 와주오
내게로 와서 빛나 주오
네가 없는 나의 꽃밭에 앉아
꽃잎을 떼며 너를 바라고 있네
빛나는 꽃이여 내게로 와주오
내게로 와서 빛나 주오
네가 없는 나의 꽃밭에 앉아
꽃잎을 떼며 너를 바라고 있네
빛나는 꽃이여 내게로 와주오
내게로 와서 빛나 주오"
사랑하지,"널 사랑하는 게 뭐가 문젠데
너도 좋아서 얼굴 붉히잖아 yeah
날도 더운데 왜 앵기는 건데 umm
그럼 날 사랑한다고 말해봐
당연히 널 사랑해 사랑하지
나 너의 몸 마음까지 사랑하지
너만 보면 난 괜히 긴장하지
난 너의 몸 마음 너무 사랑하지
너의 어깨 너의 쇄골 너의 손까지
너의 손목 너의 향기 나를 죽이지
너만 보면 난 숨이 막혀와
너만 보면 난 널 안고 싶어
나를 안아줘 나만 사랑해줘
나를 믿어줘 나만 바라봐줘
나를 안아줘 나만 사랑해줘
나를 믿어줘 나만 바라봐줘"
겨울잠,"가만히 있다가 불을 끄고 왔네
곧 어둠이 와 왜인지 익숙하지 않네
한참 기다리다가 문득 잠이 들었네
대답을 할 수 있었다면 좋았을 텐데
나 미안하게도
철없는 애 같았을 텐데
난 숨어버렸네 나 두려운가 봐
Umm 나 이제 눈을 감아
Umm 잠에 빠져들 거야
Umm 시간이 필요할 거야
Umm 그게 날 위로할 거야
Oh oh oh oh oh
나 눈을 감아
Oh oh oh oh oh
이젠 행복해질 거야
Oh oh oh oh oh
시간이 필요할 거야
Oh oh oh oh oh
그게 날 위로할 거야
싸늘한 밤하늘 위 별이 수 놓이네
언젠가 거리를 걷다 함께 본 적 있네
넌 기억하고 있니 기억하고 있니
행복은 있지 조금 갑작스럽지
나란히 앉아 있다 문득 기대오던
너의 무게같이 그 포근함같이
Ahh
Ahh
Ahh
좋았던 기억만
Umm 나 이제 눈을 감아
Umm 잠에 빠져들 거야
Umm 시간이 필요할 거야
Umm 그게 날 위로할 거야
Oh oh oh oh oh
나 눈을 감아
Oh oh oh oh oh
이젠 행복해질 거야
Oh oh oh oh oh
시간이 필요할 거야
Oh oh oh oh oh
그게 날 위로할 거야"
Dance with me baby,"기분이 왠지 가라앉을 때
이유도 없이 맘이 울렁일 때 yeah
나를 들뜨게 하는 것들을
하나 둘 씩 떠올려
할 일들이 마구 쌓였을 때
하긴 싫고 자꾸 짜증이 날 때 yeah
나를 들뜨게 하는 것들을
하나 둘 씩 떠올려 하나 둘 
예를 들면 하얀 티셔츠를 입은 너
집에 오면 반갑다고 꼬릴 흔드는 dog
먼지 없는 맑은 하늘 
늦은 밤 너와 함께 한 drive
이런 게 나를 춤추게 해
dance with me baby yeah
몸을 흔들어 yeah
맘대로 자유롭게 옆으로 한 번 더
dance with me baby yeah
몸을 흔들어 yeah
기분이 좋아지게 맘대로 한 번 더
또 예를 들면 나를 보며 웃는 너
집에 오면 반갑다고 내게 안기는 dog
비가 오지 않는 하늘
늦은 밤 너와 함께 한 drive
이런 게 나를 춤추게 해
dance with me baby yeah
몸을 흔들어 yeah
맘대로 자유롭게 옆으로 한 번 더
dance with me baby yeah
몸을 흔들어 yeah
기분이 좋아지게 맘대로 한 번 더
맘대로 한 번 더 해봐도 좋아
지금 그대로 난 좋아
나를 슬프게 하는 건 다 잊어버려
다 잊어버리고 다시 춤을 추자
dance with me baby yeah
몸을 흔들어 yeah
맘대로 자유롭게 옆으로 한 번 더
dance with me baby yeah
몸을 흔들어 yeah
기분이 좋아지게 맘대로 한 번 더
맘대로 한 번 더
맘대로 한 번 더
dance with me baby yeah
몸을 흔들어 yeah
기분이 좋아지게
dance with me baby yeah"
김철수 씨 이야기,"사실 너도 똑같더라고
내 기쁨은 늘 질투가 되고
슬픔은 항상 약점이 돼
사실 너도 다를 게 없더라고
생각해 보면 난 친구보다
떠돌이 강아지를 더 사랑해
특별하다고 한 너는 사실 똑같더라고
특별함이 하나 둘 모이면
평범함이 되고
우두커니 서서
세상을 가만히 내려다보면
비극은 언제나
발 뻗고 잘 때쯤 찾아온단다
아아아아
슬퍼라
아아아아
사실 너도 똑같더라고
내 사랑은 늘 재앙이 되고
재앙은 항상 사랑이 돼
널 사랑할 용기는
아무리 찾아도 없더라고
겁쟁이는 작은 행복마저
두려운 법이라고
우두커니 서서
세상을 가만히 내려다보면
비극은 언제나
입꼬리를 올릴 때 찾아온단다
아아아아
슬퍼라
아아아아
내방의 벽은 늘 젖어있어서
기댈 수 없고
나의 이웃은
그저 운 좋은 멍청이들뿐이야
나의 바다는
사막으로 변해가기만 하고
나는 앞으로 걸어가도 뒤로 넘어지네
아아아아
슬퍼라
아아아아
슬퍼라"
우나사빠,"빨리 저문 태양을 아쉽게 보내고
몇 번은 지난 길목을
조금만 조금만 더
느리게 걷고 싶다면
같은 마음이야
감겨오는 눈을 뒤로한 채
잠긴 목소리로 걸었다면
진부한 얘기도 괜찮아요
할 말이 없어도 나는 좋아해요
Oh say our love will always be, my love
My love 
Say our love will always be, my love
My love 
가끔 지난 일이 떠오를 때 
고개를 떨구기도 하지만
어리숙한 나의 욕심까지도
모두 괜찮은 듯이 눈감아줘
Oh say our love will always be, my love
My love 
Say our love will always be, my love
That's all"
Koko,"누가 적은 건가요 그건 
아무도 몰라봐요 
거짓 없이 말해줘요 오늘은 
새벽잠은 없거든요 
이 밤 지나고 
그대를 쫓아가 
맞닿은 몸으로 
그대를 안고서 
환히 빛나면 
그대가 볼까 봐 
눈 감은 다음 
Aishite 
Aishiteru 
Aishite 
정말 아주 많이 
Aishite 
Aishiteru 
Aishite 
정말 아주 많이 
수많은 것을 했었죠 우린 
순간인 줄 알면서 
준비를 해야겠어요 오늘은 
또 다른 순간이죠 
이 밤 지나고 
그대를 쫓아가 
맞닿은 몸으로 
그대를 안고서 
환히 빛나면 
그대가 볼까 봐 
눈 감은 다음 
Aishite 
Aishiteru 
Aishite 
정말 아주 많이 
Aishite 
Aishiteru 
Aishite 
정말 아주 많이 
Aishite
Aishiteru
Aishite
정말 아주 많이
Aishite
Aishiteru
Aishite
정말 아주 많이"
